row  column  (images_32.edf P-K*images_32.edf Ar-K**2.3)
21  17  2.60875e+07
21  18  0
21  19  1.58233e+07
21  20  0
21  21  7.5093e+06
21  22  1.60426e+07
21  23  5.39762e+06
21  24  1.4348e+07
21  25  1.19976e+07
21  26  0
21  27  4.58253e+06
21  28  4.53209e+06
21  29  0
21  30  0
21  31  0
21  32  0
21  33  5.46949e+06
21  34  1.72015e+07
21  35  1.67185e+07
21  36  2.18627e+07
21  37  1.49441e+07
21  38  0
21  39  1.55393e+07
21  40  1.43868e+07
21  41  7.24387e+06
21  42  6.84331e+06
21  43  1.76309e+07
21  44  2.66262e+07
21  45  1.75511e+07
21  46  1.99197e+07
21  47  2.44304e+07
21  48  3.50064e+07
21  49  3.81835e+07
21  50  5.31699e+07
22  0  3.87686e+07
22  1  6.39013e+07
22  2  2.37072e+07
22  3  1.69049e+07
22  4  1.56954e+07
22  5  9.88724e+06
22  6  0
22  7  0
22  8  8.95254e+06
22  9  8.25812e+06
22  10  0
22  11  1.21802e+07
22  12  1.79075e+07
22  13  1.44636e+07
22  14  2.65926e+07
22  15  1.54905e+07
22  16  1.80107e+07
22  17  2.63331e+07
22  18  1.81185e+07
22  19  1.06147e+07
22  20  0
22  21  1.2124e+07
22  22  1.54964e+07
22  23  1.68622e+07
22  24  1.32309e+07
22  25  2.52342e+07
22  26  2.59409e+06
22  27  3.98899e+06
22  28  0
22  29  0
22  30  0
22  31  0
22  32  0
22  33  1.2399e+07
22  34  2.62548e+07
22  35  1.64348e+07
22  36  1.588e+07
22  37  1.15194e+07
22  38  1.28079e+07
22  39  1.549e+07
22  40  1.66586e+07
22  41  0
22  42  0
22  43  8.26444e+06
22  44  2.52313e+07
22  45  8.63621e+06
22  46  1.42039e+07
22  47  1.43609e+07
22  48  2.4378e+07
22  49  3.84769e+07
22  50  5.65944e+07
23  0  3.55802e+07
23  1  4.5679e+07
23  2  4.54653e+07
23  3  1.43647e+07
23  4  0
23  5  0
23  6  6.2238e+06
23  7  7.01643e+06
23  8  1.58595e+07
23  9  0
23  10  1.00203e+07
23  11  1.06574e+07
23  12  1.40903e+07
23  13  1.94508e+07
23  14  2.37176e+07
23  15  0
23  16  1.63434e+07
23  17  2.19123e+07
23  18  2.14073e+07
23  19  5.81727e+06
23  20  0
23  21  0
23  22  6.63258e+06
23  23  1.00785e+07
23  24  1.98704e+07
23  25  0
23  26  0
23  27  6.52397e+06
23  28  5.59329e+06
23  29  0
23  30  0
23  31  0
23  32  0
23  33  0
23  34  2.35131e+07
23  35  1.43113e+07
23  36  1.75609e+07
23  37  1.95988e+06
23  38  6.16309e+06
23  39  1.28293e+07
23  40  1.46717e+07
23  41  9.20674e+06
23  42  4.73456e+06
23  43  5.2279e+06
23  44  8.40014e+06
23  45  1.15384e+07
23  46  3.69027e+07
23  47  2.2355e+07
23  48  3.30542e+07
23  49  4.76863e+07
23  50  3.16726e+07
24  0  8.30107e+06
24  1  5.68623e+07
24  2  3.48126e+07
24  3  1.70018e+07
24  4  8.13208e+06
24  5  1.08678e+07
24  6  0
24  7  9.06769e+06
24  8  0
24  9  8.64812e+06
24  10  1.15296e+07
24  11  2.3814e+07
24  12  1.71304e+07
24  13  0
24  14  1.32702e+07
24  15  8.80841e+06
24  16  1.59932e+07
24  17  1.78507e+07
24  18  1.76082e+07
24  19  6.11602e+06
24  20  8.53011e+06
24  21  0
24  22  7.15212e+06
24  23  1.68062e+07
24  24  2.74735e+07
24  25  1.16878e+07
24  26  0
24  27  8.36334e+06
24  28  0
24  29  0
24  30  0
24  31  0
24  32  6.97388e+06
24  33  1.5354e+07
24  34  9.28705e+06
24  35  1.46114e+07
24  36  2.743e+07
24  37  1.52178e+07
24  38  8.4522e+06
24  39  1.57535e+07
24  40  1.14285e+07
24  41  0
24  42  0
24  43  1.17332e+07
24  44  9.87735e+06
24  45  1.24759e+07
24  46  1.69057e+07
24  47  2.3477e+07
24  48  4.36431e+07
24  49  4.19837e+07
24  50  4.17697e+07
25  0  1.78916e+07
25  1  4.42006e+07
25  2  3.33827e+07
25  3  1.65017e+07
25  4  0
25  5  0
25  6  0
25  7  0
25  8  0
25  9  0
25  10  8.41995e+06
25  11  2.06968e+07
25  12  9.3902e+06
25  13  1.49916e+07
25  14  2.40354e+07
