row  column  (images_14_017.edf Fe-K*images_14_017.edf Ar-K**(2.3))
8  96  6.49101e+07
8  97  7.88023e+07
8  98  6.04036e+07
8  99  5.08939e+07
8  100  6.56559e+07
9  0  2.48676e+07
9  1  4.06516e+07
9  2  2.71967e+07
9  3  2.98132e+07
9  4  3.70632e+07
9  5  3.93874e+07
9  6  6.31269e+07
9  7  5.20255e+07
9  8  6.463e+07
9  9  7.78585e+07
9  10  1.29205e+08
9  11  1.22119e+08
9  12  1.16893e+08
9  13  1.25959e+08
9  14  1.34738e+08
9  15  1.70153e+08
9  16  1.41666e+08
9  17  1.60674e+08
9  18  1.81761e+08
9  19  1.8403e+08
9  20  1.35108e+08
9  21  1.33913e+08
9  22  1.4238e+08
9  23  1.50556e+08
9  24  1.1387e+08
9  25  1.05723e+08
9  26  1.19599e+08
9  27  1.09862e+08
9  28  8.38148e+07
9  29  9.63108e+07
9  30  8.93119e+07
9  31  7.3086e+07
9  32  8.39876e+07
9  33  7.73338e+07
9  34  8.42704e+07
9  35  8.59128e+07
9  36  1.04404e+08
9  37  9.809e+07
9  38  1.05748e+08
9  39  9.65628e+07
9  40  1.13901e+08
9  41  2.50025e+08
9  42  1.33265e+08
9  43  1.01616e+08
9  44  1.07456e+08
9  45  1.06935e+08
9  46  1.43262e+08
9  47  1.24744e+08
9  48  1.56399e+08
9  49  2.2907e+08
9  50  2.43957e+08
9  51  2.38976e+08
9  52  1.41841e+08
9  53  1.38673e+08
9  54  1.34634e+08
9  55  1.69156e+08
9  56  3.61259e+08
9  57  2.9616e+08
9  58  1.52581e+08
9  59  2.21706e+08
9  60  1.72961e+08
9  61  1.27232e+08
9  62  1.1818e+08
9  63  7.69914e+07
9  64  8.62105e+07
9  65  6.76216e+07
9  66  6.5011e+07
9  67  1.09589e+08
9  68  1.02053e+08
9  69  1.4019e+08
9  70  1.42386e+08
9  71  1.28704e+08
9  72  1.17361e+08
9  73  1.26547e+08
9  74  1.1614e+08
9  75  9.10672e+07
9  76  1.12276e+08
9  77  5.41402e+07
9  78  1.26552e+08
9  79  7.94576e+07
9  80  1.07564e+08
9  81  8.24441e+07
9  82  6.97462e+07
9  83  6.58114e+07
9  84  1.02587e+08
9  85  4.68454e+07
9  86  6.37659e+07
9  87  5.19077e+07
9  88  8.46951e+07
9  89  7.35803e+07
9  90  4.05706e+07
9  91  6.25852e+07
9  92  6.93708e+07
9  93  8.93213e+07
9  94  5.94105e+07
9  95  4.73243e+07
9  96  5.0003e+07
9  97  6.90119e+07
9  98  5.63244e+07
9  99  5.56517e+07
9  100  6.14653e+07
10  0  2.346e+07
10  1  2.15989e+07
10  2  4.04213e+07
10  3  4.02615e+07
10  4  4.09192e+07
10  5  4.34119e+07
10  6  5.12929e+07
10  7  3.85681e+07
10  8  5.6047e+07
10  9  8.83723e+07
10  10  1.15688e+08
10  11  1.36124e+08
10  12  1.12056e+08
10  13  1.45578e+08
10  14  1.13543e+08
10  15  1.42571e+08
10  16  1.18849e+08
10  17  1.57135e+08
10  18  1.7945e+08
10  19  1.85283e+08
10  20  1.32412e+08
10  21  9.36207e+07
10  22  1.02627e+08
10  23  1.38851e+08
10  24  1.17538e+08
10  25  1.15824e+08
10  26  1.1873e+08
10  27  1.05838e+08
10  28  8.94557e+07
10  29  1.13406e+08
10  30  1.15911e+08
10  31  4.37027e+07
10  32  7.33327e+07
10  33  6.21663e+07
10  34  1.10958e+08
10  35  1.00135e+08
10  36  8.33394e+07
10  37  6.27817e+07
10  38  9.59532e+07
10  39  9.70656e+07
10  40  1.21113e+08
10  41  2.30787e+08
10  42  1.54404e+08
10  43  1.33836e+08
10  44  9.27164e+07
10  45  1.20168e+08
10  46  1.09425e+08
10  47  1.5404e+08
10  48  1.68645e+08
10  49  2.43929e+08
10  50  2.49696e+08
10  51  2.21477e+08
10  52  1.68055e+08
10  53  1.26236e+08
10  54  1.1993e+08
10  55  2.07846e+08
10  56  4.3221e+08
10  57  3.54197e+08
10  58  2.71635e+08
10  59  1.77234e+08
10  60  1.18348e+08
10  61  1.21262e+08
10  62  1.20994e+08
10  63  1.02035e+08
10  64  1.02831e+08
10  65  6.6875e+07
10  66  8.3229e+07
10  67  1.1448e+08
10  68  1.1056e+08
10  69  1.12085e+08
10  70  1.02243e+08
10  71  1.29368e+08
10  72  1.32557e+08
10  73  1.68195e+08
10  74  1.26752e+08
10  75  7.79345e+07
10  76  1.03397e+08
10  77  1.07086e+08
10  78  1.099e+08
10  79  9.07146e+07
10  80  9.73662e+07
10  81  1.2097e+08
10  82  1.00204e+08
10  83  7.828e+07
10  84  6.74282e+07
10  85  8.5251e+07
10  86  5.7046e+07
10  87  6.76642e+07
10  88  4.58991e+07
10  89  7.4615e+07
10  90  5.57823e+07
10  91  6.18115e+07
10  92  7.8639e+07
10  93  5.05754e+07
10  94  6.92422e+07
10  95  7.68608e+07
10  96  8.04859e+07
10  97  6.9087e+07
10  98  6.2598e+07
10  99  3.62341e+07
10  100  4.04211e+07
11  0  1.06667e+07
11  1  2.82366e+07
11  2  3.44551e+07
11  3  2.48563e+07
11  4  3.57939e+07
11  5  3.55169e+07
11  6  5.08296e+07
11  7  5.95035e+07
11  8  7.12276e+07
11  9  9.63722e+07
11  10  1.2173e+08
11  11  1.25268e+08
11  12  1.14677e+08
11  13  1.27265e+08
11  14  1.51505e+08
11  15  1.48217e+08
11  16  1.22556e+08
11  17  1.23999e+08
11  18  1.80969e+08
11  19  1.58003e+08
11  20  1.20298e+08
11  21  1.27401e+08
11  22  1.27526e+08
11  23  1.53256e+08
11  24  1.29166e+08
11  25  1.13899e+08
11  26  1.35695e+08
11  27  1.22859e+08
11  28  1.06565e+08
11  29  9.59276e+07
11  30  7.78017e+07
11  31  6.25999e+07
11  32  7.92356e+07
11  33  6.1936e+07
11  34  9.05867e+07
11  35  6.04819e+07
11  36  8.6319e+07
11  37  1.17335e+08
