row  column  (images_14_017.edf S-K*images_14_017.edf Ar-K**(2.3))
9  61  4.26798e+07
9  62  4.78692e+07
9  63  4.29109e+07
9  64  6.32361e+07
9  65  4.84195e+07
9  66  5.2384e+07
9  67  4.58651e+07
9  68  2.78807e+07
9  69  5.0298e+07
9  70  4.44629e+07
9  71  4.2387e+07
9  72  3.87684e+07
9  73  4.86751e+07
9  74  2.68657e+07
9  75  4.25211e+07
9  76  3.07983e+07
9  77  2.44698e+07
9  78  2.40224e+07
9  79  2.80876e+07
9  80  3.27153e+07
9  81  7.12417e+06
9  82  8.067e+06
9  83  1.13232e+07
9  84  0
9  85  1.34628e+07
9  86  763164
9  87  7.0224e+06
9  88  6.18219e+06
9  89  1.42282e+07
9  90  7.78629e+06
9  91  8.65614e+06
9  92  6.7225e+06
9  93  4.84288e+06
9  94  1.16567e+07
9  95  1.17172e+07
9  96  9.34845e+06
9  97  2.35379e+07
9  98  1.05348e+07
9  99  1.51429e+07
9  100  2.23823e+07
10  0  5.46693e+06
10  1  727170
10  2  1.73099e+06
10  3  1.70779e+06
10  4  5.04629e+06
10  5  4.83137e+06
10  6  5.21256e+06
10  7  2.41441e+06
10  8  6.34078e+06
10  9  9.57307e+06
10  10  2.18806e+07
10  11  2.61805e+07
10  12  1.02521e+07
10  13  1.82956e+07
10  14  6.78397e+06
10  15  2.3784e+07
10  16  1.48336e+07
10  17  2.44678e+07
10  18  9.49987e+06
10  19  1.6516e+07
10  20  9.51657e+06
10  21  1.61002e+07
10  22  1.46949e+07
10  23  1.67061e+07
10  24  1.19362e+07
10  25  2.45636e+07
10  26  1.96281e+07
10  27  1.14206e+07
10  28  2.81983e+07
10  29  3.48754e+07
10  30  2.23773e+07
10  31  2.12045e+07
10  32  9.64375e+06
10  33  1.79704e+07
10  34  2.05871e+07
10  35  8.30614e+06
10  36  1.18439e+07
10  37  1.39701e+07
10  38  1.32859e+07
10  39  1.77328e+07
10  40  1.14383e+07
10  41  2.51428e+07
10  42  2.64086e+07
10  43  3.16484e+07
10  44  1.8217e+07
10  45  9.16808e+06
10  46  3.46525e+07
10  47  2.3861e+07
10  48  4.63564e+07
10  49  3.68005e+07
10  50  5.34672e+07
10  51  3.56856e+07
10  52  4.45088e+07
10  53  5.80644e+07
10  54  7.97381e+07
10  55  5.59565e+07
10  56  4.92199e+07
10  57  5.50566e+07
10  58  5.80985e+07
10  59  5.24731e+07
10  60  3.64457e+07
10  61  3.26508e+07
10  62  5.59536e+07
10  63  5.18831e+07
10  64  5.23799e+07
10  65  3.47397e+07
10  66  3.93075e+07
10  67  4.68291e+07
10  68  4.22178e+07
10  69  4.52127e+07
10  70  5.00318e+07
10  71  4.39166e+07
10  72  3.73118e+07
10  73  4.45305e+07
10  74  6.40529e+07
10  75  5.2922e+07
10  76  3.12344e+07
10  77  2.85821e+07
10  78  2.49397e+07
10  79  1.9304e+07
10  80  2.5347e+07
10  81  2.27322e+07
10  82  9.69428e+06
10  83  1.39073e+07
10  84  2.33554e+07
10  85  8.88207e+06
10  86  8.99886e+06
10  87  7.41625e+06
10  88  1.75875e+06
10  89  2.56826e+06
10  90  7.91733e+06
10  91  5.94881e+06
10  92  1.28886e+07
10  93  3.41404e+06
10  94  1.31564e+07
10  95  8.59265e+06
10  96  2.70793e+07
10  97  1.18937e+07
10  98  1.21735e+07
10  99  1.45138e+07
10  100  1.09552e+07
11  0  5.8376e+06
11  1  3.88454e+06
11  2  5.56747e+06
11  3  1.12027e+06
11  4  3.25677e+06
11  5  194101
11  6  7.27917e+06
11  7  9.93792e+06
11  8  3.75699e+06
11  9  4.19528e+06
11  10  1.79707e+07
11  11  3.41558e+06
11  12  8.9312e+06
11  13  1.64818e+07
11  14  1.01354e+07
11  15  1.66149e+07
11  16  1.77839e+07
11  17  1.82641e+07
11  18  1.39564e+07
11  19  1.71478e+07
11  20  1.00149e+07
11  21  2.1878e+07
11  22  1.78167e+07
11  23  1.38949e+07
11  24  1.29701e+07
11  25  9.7062e+06
11  26  1.57415e+07
11  27  1.19062e+07
11  28  2.8238e+07
11  29  3.40819e+07
11  30  1.02865e+07
11  31  1.60192e+07
11  32  1.00033e+07
11  33  2.94358e+07
11  34  1.29947e+07
11  35  2.39298e+07
11  36  1.22545e+07
11  37  1.89805e+07
11  38  1.14319e+07
11  39  1.26947e+07
11  40  4.72045e+07
11  41  4.93991e+07
11  42  2.52344e+07
11  43  1.64117e+07
11  44  1.38227e+07
11  45  2.09271e+07
11  46  1.52473e+07
11  47  4.44959e+07
11  48  3.97841e+07
11  49  3.58835e+07
11  50  4.04735e+07
11  51  3.8142e+07
11  52  5.77066e+07
