row  column  (images_14_017.edf P-K*images_14_017.edf Ar-K**(2.3))
10  16  8.92789e+06
10  17  2.028e+06
10  18  456980
10  19  3.4284e+06
10  20  0
10  21  0
10  22  5.64102e+06
10  23  3.99725e+06
10  24  3.54753e+06
10  25  6.61781e+06
10  26  7.58395e+06
10  27  665074
10  28  3.28886e+06
10  29  1.29096e+07
10  30  2.43772e+06
10  31  975372
10  32  0
10  33  2.40882e+06
10  34  0
10  35  0
10  36  0
10  37  2.9349e+06
10  38  2.01604e+06
10  39  0
10  40  0
10  41  6.96639e+06
10  42  2.30448e+06
10  43  0
10  44  6.84503e+06
10  45  0
10  46  6.10372e+06
10  47  512942
10  48  1.85154e+07
10  49  1.10268e+07
10  50  6.85875e+06
10  51  0
10  52  8.10189e+06
10  53  9.44976e+06
10  54  1.13653e+07
10  55  1.25832e+07
10  56  7.98715e+06
10  57  1.69857e+07
10  58  1.55522e+07
10  59  5.68975e+06
10  60  1.068e+07
10  61  5.01371e+06
10  62  1.56865e+07
10  63  6.19441e+06
10  64  5.6759e+06
10  65  6.33868e+06
10  66  4.12126e+06
10  67  3.13679e+06
10  68  6.09885e+06
10  69  8.84834e+06
10  70  1.05036e+07
10  71  0
10  72  1.04481e+07
10  73  7.36873e+06
10  74  1.6687e+07
10  75  6.95092e+06
10  76  1.00785e+06
10  77  5.23292e+06
10  78  1.00461e+07
10  79  885758
10  80  8.34573e+06
10  81  4.33083e+06
10  82  4.91387e+06
10  83  3.50188e+06
10  84  0
10  85  1.8989e+06
10  86  0
10  87  690818
10  88  0
10  89  0
10  90  0
10  91  0
10  92  919406
10  93  1.59575e+06
10  94  769805
10  95  0
10  96  14848.9
10  97  0
10  98  0
10  99  0
10  100  0
11  0  1.87086e+06
11  1  249511
11  2  0
11  3  0
11  4  1.31644e+06
11  5  948577
11  6  4.86775e+06
11  7  0
11  8  1.05218e+06
11  9  5.04512e+06
11  10  3.43093e+06
11  11  1.30084e+06
11  12  1.14083e+06
11  13  7.30647e+06
11  14  7.32381e+06
11  15  6.47527e+06
11  16  3.04203e+06
11  17  1.57853e+06
11  18  417416
11  19  2.61293e+06
11  20  0
11  21  1.27952e+06
11  22  3.9458e+06
11  23  4.49178e+06
11  24  712141
11  25  4.92894e+06
11  26  1.17889e+06
11  27  7.99797e+06
11  28  1.19777e+07
11  29  1.46591e+07
11  30  1.53125e+06
11  31  2.66087e+06
11  32  3.45553e+06
11  33  3.1206e+06
11  34  0
11  35  376804
11  36  1.21175e+06
11  37  3.38865e+06
11  38  1.29476e+06
11  39  0
11  40  7.80321e+06
11  41  3.7459e+06
11  42  1.59638e+06
11  43  0
11  44  0
11  45  3.71126e+06
11  46  0
11  47  8.84585e+06
11  48  6.72928e+06
11  49  5.13632e+06
11  50  3.4463e+06
11  51  1.89261e+06
11  52  1.66009e+07
11  53  1.50647e+07
11  54  1.40251e+06
11  55  9.24176e+06
11  56  5.65211e+06
11  57  1253.5
11  58  1.00072e+07
11  59  6.16752e+06
11  60  4.34586e+06
11  61  1.50057e+07
11  62  6.86809e+06
11  63  8.3493e+06
11  64  8.00201e+06
11  65  4.31655e+06
11  66  7.21576e+06
11  67  0
11  68  1.37311e+06
11  69  1.26103e+07
11  70  1.14562e+07
11  71  3.54538e+06
11  72  1.10851e+06
11  73  8.88964e+06
11  74  3.06924e+06
11  75  1.39317e+07
11  76  7.94413e+06
11  77  2.77178e+06
11  78  8.7975e+06
11  79  4.77462e+06
11  80  0
11  81  7.2847e+06
11  82  234993
11  83  1.47866e+06
11  84  684205
11  85  600011
11  86  0
11  87  0
11  88  0
11  89  897345
11  90  0
11  91  0
11  92  0
11  93  1.84447e+06
11  94  0
11  95  561767
11  96  0
11  97  0
11  98  951925
11  99  1.57531e+06
11  100  0
12  0  3.68872e+06
12  1  0
12  2  0
12  3  0
12  4  0
12  5  0
12  6  499509
12  7  1.41372e+06
12  8  846191
12  9  4.22499e+06
12  10  4.38021e+06
12  11  5.09139e+06
12  12  0
12  13  0
12  14  5.97386e+06
12  15  3.79098e+06
12  16  0
12  17  0
12  18  0
12  19  96557.4
12  20  824448
12  21  4.70156e+06
12  22  0
12  23  0
12  24  6.9405e+06
12  25  2.84648e+06
12  26  6.77941e+06
12  27  785648
12  28  1.16659e+07
12  29  9.21497e+06
12  30  6.8127e+06
12  31  1.60526e+06
12  32  153493
12  33  3.57352e+06
12  34  1.71151e+06
12  35  780172
12  36  0
12  37  5.56528e+06
12  38  1.27007e+06
12  39  0
12  40  0
12  41  0
12  42  6.37019e+06
12  43  0
12  44  0
12  45  0
12  46  2.04291e+06
12  47  6.49859e+06
12  48  0
12  49  1.17673e+07
12  50  0
12  51  8.48441e+06
12  52  5.37592e+06
12  53  3.47411e+06
12  54  4.76154e+06
12  55  1.38727e+07
12  56  9.69704e+06
12  57  1.30554e+07
12  58  1.2685e+07
12  59  1.57301e+07
12  60  8.60288e+06
12  61  1.20441e+07
12  62  1.75418e+07
12  63  4.33136e+06
12  64  4.57988e+06
12  65  9.8593e+06
12  66  7.44989e+06
12  67  0
12  68  4.87088e+06
12  69  2.35546e+06
12  70  1.86032e+07
12  71  1.35832e+07
12  72  1.95445e+07
12  73  2.23191e+06
12  74  5.6836e+06
12  75  5.15024e+06
12  76  9.70557e+06
12  77  9.20483e+06
12  78  5.85497e+06
12  79  2.51787e+06
12  80  5.68632e+06
12  81  0
12  82  0
12  83  6.11029e+06
12  84  0
12  85  0
12  86  1.25319e+06
12  87  0
12  88  169703
12  89  0
12  90  0
12  91  0
12  92  566843
12  93  0
12  94  0
12  95  0
12  96  724699
12  97  0
12  98  387174
12  99  0
12  100  0
13  0  0
13  1  0
13  2  131592
13  3  0
13  4  0
13  5  0
13  6  1.92728e+06
13  7  2.03403e+06
13  8  2.59567e+06
13  9  7.45732e+06
13  10  5.449e+06
13  11  1.17668e+06
13  12  2.42959e+06
13  13  1.38599e+06
13  14  2.16739e+06
13  15  5.63989e+06
13  16  5.90934e+06
13  17  4.52897e+06
13  18  2.78308e+06
13  19  7.62196e+06
13  20  7.60154e+06
13  21  0
13  22  3.94445e+06
13  23  2.69833e+06
13  24  603154
13  25  6.84935e+06
13  26  6.81374e+06
13  27  0
13  28  1.14266e+06
13  29  9.72146e+06
13  30  6.40953e+06
13  31  6.96796e+06
13  32  0
13  33  4.57157e+06
13  34  88368.5
13  35  9.63224e+06
13  36  0
13  37  0
13  38  297690
13  39  0
13  40  5.99109e+06
13  41  0
13  42  2.28185e+06
13  43  0
13  44  0
13  45  1.54995e+06
13  46  0
13  47  7.77003e+06
13  48  1.65852e+06
13  49  0
13  50  0
13  51  3.94368e+06
13  52  6.12983e+06
13  53  1.19441e+07
13  54  7.46855e+06
13  55  8.16162e+06
13  56  7.37042e+06
13  57  5.38074e+06
13  58  1.55661e+07
13  59  5.78838e+06
13  60  1.35397e+07
13  61  3.2917e+07
13  62  1.87353e+07
13  63  4.74258e+06
13  64  1.24803e+07
