row  column  (images_7.edf S-K*images_7.edf Ar-K**2.3)
8  5  8.16931e+06
8  6  1.04951e+07
8  7  2.47826e+07
8  8  1.23678e+07
8  9  1.24907e+07
8  10  2.61415e+07
8  11  1.75343e+07
8  12  2.63051e+07
8  13  5.14759e+07
8  14  4.66446e+07
8  15  3.89047e+07
8  16  5.62074e+07
8  17  6.37699e+07
8  18  6.29244e+07
8  19  6.58192e+07
8  20  5.69344e+07
8  21  9.57916e+07
8  22  9.92723e+07
8  23  7.5629e+07
8  24  7.14253e+07
8  25  8.2816e+07
8  26  8.9895e+07
8  27  6.68917e+07
8  28  7.6115e+07
8  29  6.60767e+07
8  30  7.3746e+07
8  31  7.21096e+07
8  32  7.6935e+07
8  33  7.64442e+07
8  34  1.08661e+08
8  35  1.06311e+08
8  36  8.20945e+07
8  37  8.97792e+07
8  38  1.16838e+08
8  39  9.97132e+07
8  40  8.62348e+07
8  41  8.1646e+07
8  42  8.47296e+07
8  43  6.84893e+07
8  44  8.29517e+07
8  45  8.50196e+07
8  46  7.12054e+07
8  47  8.87552e+07
8  48  7.36333e+07
8  49  7.75554e+07
8  50  8.19519e+07
8  51  7.09881e+07
8  52  5.6083e+07
8  53  6.94334e+07
8  54  8.34549e+07
8  55  9.17089e+07
8  56  7.64881e+07
8  57  7.94464e+07
8  58  9.72772e+07
8  59  7.74322e+07
8  60  6.87104e+07
8  61  1.04481e+08
8  62  1.04351e+08
8  63  7.64671e+07
8  64  9.11404e+07
8  65  1.03166e+08
8  66  8.75737e+07
8  67  8.86228e+07
8  68  8.73061e+07
8  69  1.01473e+08
8  70  1.00569e+08
8  71  6.39924e+07
8  72  7.73274e+07
8  73  6.46989e+07
8  74  6.52383e+07
8  75  5.73007e+07
8  76  7.47502e+07
8  77  6.48585e+07
8  78  6.44851e+07
8  79  5.6318e+07
8  80  4.70959e+07
8  81  7.66688e+07
8  82  4.0243e+07
8  83  5.32226e+07
8  84  3.37415e+07
8  85  3.79283e+07
8  86  2.50236e+07
8  87  3.04377e+07
8  88  3.19264e+07
8  89  3.35834e+07
8  90  3.96558e+07
8  91  2.96425e+07
8  92  2.96075e+07
8  93  1.69182e+07
8  94  2.68187e+07
8  95  3.91964e+07
8  96  2.31066e+07
8  97  2.64133e+07
8  98  2.84209e+07
8  99  4.44142e+07
8  100  4.58684e+07
9  0  6.07126e+06
9  1  2.05647e+06
9  2  1.15836e+06
9  3  7.64568e+06
9  4  3.97492e+06
9  5  3.31477e+06
9  6  7.38392e+06
9  7  1.86157e+07
9  8  2.19346e+07
9  9  2.75072e+07
9  10  1.98292e+07
9  11  2.98688e+07
9  12  3.63282e+07
9  13  3.33388e+07
9  14  5.56992e+07
9  15  6.48769e+07
9  16  6.98242e+07
9  17  5.94951e+07
9  18  8.36741e+07
9  19  6.11826e+07
9  20  7.70379e+07
9  21  7.26406e+07
9  22  6.49392e+07
9  23  6.4436e+07
9  24  7.55333e+07
9  25  7.08012e+07
9  26  7.04104e+07
9  27  6.47714e+07
9  28  9.03206e+07
9  29  7.33483e+07
9  30  8.20532e+07
9  31  7.19279e+07
9  32  7.93664e+07
9  33  9.23605e+07
9  34  8.91645e+07
9  35  1.10201e+08
9  36  8.89775e+07
9  37  1.04712e+08
9  38  1.07613e+08
9  39  8.73496e+07
9  40  1.04363e+08
