row  column  (images_4.edf P-K*images_4.edf Ar-K**2.3)
9  33  1.1347e+06
9  34  2.65148e+06
9  35  7.22759e+06
9  36  2.02784e+06
9  37  0
9  38  2.01587e+06
9  39  0
9  40  738334
9  41  0
9  42  1.93245e+06
9  43  3.28236e+06
9  44  1.87279e+06
9  45  1.99175e+06
9  46  3.78995e+06
9  47  1.0169e+06
9  48  2.99743e+06
9  49  1.60029e+06
9  50  0
9  51  225779
9  52  1.54549e+06
9  53  0
9  54  3.71827e+06
9  55  6.53387e+06
9  56  1.51534e+06
9  57  6.21271e+06
9  58  5.57702e+06
9  59  5.32835e+06
9  60  3.54972e+06
9  61  1.74586e+06
9  62  4.75261e+06
9  63  6.31617e+06
9  64  1.79013e+06
9  65  4.24559e+06
9  66  217107
9  67  836669
9  68  0
9  69  6.36949e+06
9  70  2.92888e+06
9  71  8.08208e+06
9  72  6.24634e+06
9  73  3.28547e+06
9  74  7.00133e+06
9  75  8.44404e+06
9  76  1.34468e+07
9  77  5.987e+06
9  78  3.97809e+06
9  79  2.0362e+06
9  80  6.24197e+06
9  81  1.57551e+06
9  82  5.00963e+06
9  83  7.04617e+06
9  84  3.4444e+06
9  85  1.02377e+07
9  86  4.31858e+06
9  87  4.56918e+06
9  88  4.67513e+06
9  89  6.04807e+06
9  90  4.82696e+06
9  91  5.6409e+06
9  92  3.65822e+06
9  93  6.57498e+06
9  94  3.07271e+06
9  95  5.35835e+06
9  96  6.60007e+06
9  97  2.04982e+06
9  98  1.01148e+07
9  99  5.12296e+06
9  100  6.368e+06
10  0  8.48293e+06
10  1  8.07389e+06
10  2  4.59915e+06
10  3  7.74362e+06
10  4  7.68028e+06
10  5  9.0696e+06
10  6  3.7148e+06
10  7  5.39956e+06
10  8  7.79203e+06
10  9  8.54e+06
10  10  9.57117e+06
10  11  9.75552e+06
10  12  1.60513e+07
10  13  5.68137e+06
10  14  6.56748e+06
10  15  676020
10  16  0
10  17  4.26347e+06
10  18  0
10  19  678872
10  20  0
10  21  0
10  22  213387
10  23  0
10  24  3.46458e+06
10  25  0
10  26  2.70396e+06
10  27  859272
10  28  2.2179e+06
10  29  1.68898e+06
10  30  1.58466e+06
10  31  704043
10  32  287142
10  33  1.08557e+06
10  34  1.0692e+06
10  35  4.29373e+06
10  36  2.93917e+06
10  37  5.2876e+06
10  38  0
10  39  2.60194e+06
10  40  617455
10  41  262712
10  42  1.84106e+06
10  43  881961
10  44  2.55092e+06
10  45  0
10  46  0
10  47  0
10  48  2.13326e+06
10  49  438081
10  50  2.37083e+06
10  51  3.51866e+06
10  52  1.53438e+06
10  53  1.44702e+06
10  54  0
10  55  1.77096e+06
10  56  2.54197e+06
10  57  5.42473e+06
10  58  2.67342e+06
10  59  2.04031e+06
10  60  0
10  61  4.96621e+06
10  62  0
10  63  6.44055e+06
10  64  5.00034e+06
10  65  3.61341e+06
10  66  0
10  67  2.84529e+06
10  68  2.57619e+06
10  69  5.37488e+06
10  70  6.66938e+06
10  71  8.61672e+06
10  72  3.27036e+06
10  73  2.23052e+06
10  74  7.58392e+06
10  75  1.24398e+07
10  76  9.0306e+06
10  77  3.98232e+06
10  78  8.82084e+06
10  79  6.82416e+06
10  80  3.19586e+06
10  81  2.5183e+06
10  82  5.16975e+06
10  83  2.72251e+06
10  84  5.09584e+06
10  85  7.87257e+06
