row  column  (images_16_017.edf Mn-K*images_16_017.edf Ar-K**2.3)
15  14  8.20547e+06
15  15  9.03892e+06
15  16  6.50613e+06
15  17  1.03067e+07
15  18  8.24969e+06
15  19  7.58972e+06
15  20  1.30324e+07
15  21  7.41449e+06
15  22  9.27517e+06
15  23  9.15586e+06
15  24  1.14687e+07
15  25  1.012e+07
15  26  1.105e+07
15  27  1.1095e+07
15  28  1.08605e+07
15  29  7.39012e+06
15  30  1.13398e+07
15  31  7.25911e+06
15  32  1.58936e+07
15  33  1.07051e+07
15  34  1.20346e+07
15  35  9.51454e+06
15  36  9.87143e+06
15  37  6.83916e+06
15  38  7.52966e+06
15  39  8.42072e+06
15  40  1.23362e+07
15  41  1.21172e+07
15  42  9.15083e+06
15  43  1.05466e+07
15  44  1.11525e+07
15  45  7.69938e+06
15  46  1.02457e+07
15  47  1.30385e+07
15  48  1.84431e+07
15  49  1.72989e+07
15  50  1.3711e+07
16  0  3.01087e+06
16  1  1.1645e+07
16  2  5.6157e+06
16  3  9.83606e+06
16  4  1.4024e+07
16  5  1.18729e+07
16  6  1.46837e+06
16  7  6.75709e+06
16  8  7.29869e+06
16  9  1.08e+07
16  10  8.23179e+06
16  11  1.08769e+07
16  12  1.31977e+07
16  13  1.1002e+07
16  14  7.64772e+06
16  15  6.11893e+06
16  16  1.23813e+07
16  17  9.69168e+06
16  18  6.99912e+06
16  19  1.20777e+07
16  20  1.07523e+07
16  21  9.63229e+06
16  22  6.17289e+06
16  23  9.21631e+06
16  24  1.23628e+07
16  25  8.57441e+06
16  26  1.06143e+07
16  27  1.27179e+07
16  28  1.02244e+07
16  29  4.3674e+06
16  30  8.28401e+06
16  31  1.02631e+07
16  32  1.03579e+07
16  33  7.11058e+06
16  34  7.95902e+06
16  35  5.57696e+06
16  36  1.13583e+07
16  37  1.48606e+07
16  38  5.60439e+06
16  39  1.10864e+07
16  40  1.00402e+07
16  41  8.27276e+06
16  42  8.73352e+06
16  43  4.80816e+06
16  44  9.11537e+06
16  45  1.31034e+07
16  46  1.02058e+07
16  47  7.31438e+06
16  48  1.31723e+07
16  49  6.15194e+06
16  50  1.33732e+07
17  0  1.15498e+07
17  1  9.12739e+06
17  2  9.32296e+06
17  3  8.30888e+06
17  4  1.3878e+07
17  5  9.8854e+06
17  6  1.32804e+07
17  7  6.70146e+06
17  8  9.76516e+06
17  9  5.77949e+06
17  10  7.67249e+06
17  11  8.99796e+06
17  12  1.46648e+07
17  13  7.90754e+06
17  14  9.75622e+06
17  15  6.77516e+06
17  16  1.166e+07
17  17  8.0223e+06
17  18  1.34054e+07
17  19  7.92742e+06
17  20  9.42774e+06
17  21  1.31881e+07
17  22  6.74752e+06
17  23  8.8864e+06
17  24  1.18465e+07
17  25  9.70146e+06
17  26  8.62747e+06
17  27  7.36411e+06
17  28  1.26448e+07
17  29  1.33665e+07
17  30  7.579e+06
17  31  1.04336e+07
17  32  7.5632e+06
17  33  7.31197e+06
17  34  7.50758e+06
17  35  1.0676e+07
17  36  3.3736e+06
17  37  1.40402e+07
17  38  1.2413e+07
17  39  1.25883e+07
17  40  7.62343e+06
17  41  1.55005e+07
17  42  9.81551e+06
17  43  1.17013e+07
17  44  1.53496e+07
17  45  1.4769e+07
17  46  7.24082e+06
17  47  8.02124e+06
17  48  1.54567e+07
17  49  1.04261e+07
17  50  6.17063e+06
18  0  6.52108e+06
18  1  1.03404e+07
18  2  1.32789e+07
18  3  1.23952e+07
18  4  1.31286e+07
18  5  7.69964e+06
18  6  1.04594e+07
18  7  1.42271e+07
18  8  8.47261e+06
18  9  9.66332e+06
18  10  1.29237e+07
18  11  8.28768e+06
18  12  1.22616e+07
18  13  1.31217e+07
18  14  8.24509e+06
18  15  1.13075e+07
18  16  9.43033e+06
18  17  7.85968e+06
18  18  1.489e+07
18  19  3.32964e+06
18  20  1.16231e+07
18  21  1.3031e+07
18  22  1.57017e+07
18  23  9.74558e+06
18  24  1.00585e+07
18  25  8.06483e+06
18  26  7.69228e+06
18  27  7.95285e+06
18  28  5.34789e+06
18  29  1.21869e+07
18  30  1.26632e+07
18  31  5.38163e+06
18  32  5.75547e+06
18  33  7.4746e+06
18  34  8.11294e+06
18  35  4.32079e+06
18  36  1.08334e+07
18  37  8.56007e+06
18  38  8.18771e+06
18  39  8.17479e+06
18  40  9.69491e+06
18  41  1.07979e+07
18  42  8.77693e+06
18  43  9.02315e+06
18  44  8.05915e+06
18  45  9.49832e+06
18  46  1.04085e+07
18  47  8.11606e+06
