row  column  (images_33.edf S-K*images_33.edf Ar-K**2.3)
22  26  5.16991e+07
22  27  5.4234e+07
22  28  2.17051e+07
22  29  2.21389e+07
22  30  2.59446e+07
22  31  0
22  32  3.83997e+07
22  33  0
22  34  2.78212e+07
22  35  2.86915e+07
22  36  5.32014e+07
22  37  2.55807e+07
22  38  7.76143e+07
22  39  8.14623e+07
22  40  9.00834e+07
22  41  7.10797e+07
22  42  2.22287e+07
22  43  4.1996e+07
22  44  5.35704e+07
22  45  0
22  46  2.91731e+07
22  47  0
22  48  0
22  49  0
22  50  0
23  0  0
23  1  0
23  2  0
23  3  0
23  4  0
23  5  0
23  6  0
23  7  0
23  8  0
23  9  3.252e+07
23  10  0
23  11  0
23  12  0
23  13  0
23  14  0
23  15  0
23  16  4.49485e+07
23  17  3.67314e+07
23  18  2.58866e+07
23  19  3.56306e+07
23  20  0
23  21  0
23  22  5.49452e+07
23  23  5.70619e+07
23  24  5.44787e+07
23  25  4.76498e+07
23  26  4.27999e+07
23  27  4.60962e+07
23  28  4.46577e+07
23  29  4.82273e+07
23  30  2.60186e+07
23  31  0
23  32  0
23  33  0
23  34  0
23  35  4.30459e+07
23  36  6.35338e+07
23  37  8.08623e+07
23  38  7.77808e+07
23  39  5.68738e+07
23  40  5.88203e+07
23  41  5.90501e+07
23  42  0
23  43  3.15632e+07
23  44  3.15683e+07
23  45  2.86565e+07
23  46  3.64639e+07
23  47  3.52291e+07
23  48  0
23  49  0
23  50  0
24  0  0
24  1  0
24  2  0
24  3  0
24  4  0
24  5  0
24  6  0
24  7  0
24  8  0
24  9  0
24  10  0
24  11  0
24  12  0
24  13  0
24  14  0
24  15  0
24  16  0
24  17  0
24  18  3.31616e+07
24  19  3.25314e+07
24  20  3.03405e+07
24  21  0
24  22  5.20634e+07
24  23  2.21045e+07
24  24  2.9073e+07
24  25  4.59339e+07
24  26  8.0403e+07
24  27  4.62483e+07
24  28  5.74006e+07
24  29  3.70916e+07
24  30  5.63227e+07
24  31  3.62217e+07
24  32  0
24  33  3.84624e+07
24  34  0
24  35  4.28657e+07
24  36  8.16715e+07
24  37  7.82645e+07
24  38  6.23476e+07
24  39  8.80965e+07
24  40  6.6443e+07
24  41  3.51495e+07
24  42  0
24  43  0
24  44  2.3203e+07
24  45  0
24  46  0
24  47  0
24  48  0
24  49  0
24  50  0
25  0  0
25  1  0
25  2  0
25  3  0
25  4  0
25  5  0
25  6  0
25  7  0
25  8  0
25  9  0
25  10  0
25  11  0
25  12  0
25  13  0
25  14  0
25  15  0
25  16  2.19587e+07
25  17  4.37816e+07
25  18  2.33497e+07
25  19  3.85401e+07
25  20  2.36912e+07
25  21  4.8703e+07
25  22  3.58165e+07
25  23  2.85135e+07
25  24  3.66288e+07
25  25  5.91018e+07
25  26  5.46883e+07
25  27  5.14734e+07
25  28  4.87726e+07
25  29  6.09047e+07
25  30  3.97632e+07
25  31  5.27637e+07
25  32  0
25  33  3.02428e+07
25  34  3.30054e+07
25  35  3.79434e+07
25  36  6.30099e+07
25  37  5.07638e+07
25  38  6.74956e+07
25  39  8.71963e+07
25  40  4.32325e+07
25  41  4.76502e+07
25  42  0
25  43  0
25  44  2.32918e+07
25  45  3.09664e+07
25  46  0
25  47  0
25  48  0
25  49  0
25  50  0
26  0  0
26  1  0
26  2  0
26  3  0
26  4  0
26  5  0
26  6  0
26  7  0
26  8  0
26  9  0
26  10  0
26  11  0
26  12  0
26  13  0
26  14  0
26  15  0
26  16  2.74735e+07
26  17  3.88331e+07
26  18  0
26  19  4.91006e+07
26  20  2.47415e+07
26  21  0
26  22  3.79312e+07
26  23  4.8898e+07
26  24  4.96594e+07
26  25  3.3595e+07
26  26  4.47949e+07
26  27  5.95509e+07
26  28  3.42809e+07
26  29  5.15914e+07
26  30  6.93091e+07
26  31  4.88587e+07
26  32  3.2457e+07
26  33  2.78001e+07
26  34  2.93454e+07
26  35  3.90399e+07
26  36  6.97017e+07
26  37  5.72191e+07
26  38  5.84588e+07
26  39  1.08075e+08
26  40  7.47194e+07
26  41  4.26813e+07
26  42  1.69806e+07
26  43  0
26  44  3.61535e+07
26  45  0
26  46  0
26  47  0
26  48  0
26  49  0
26  50  0
27  0  0
27  1  0
27  2  0
27  3  0
27  4  0
27  5  0
27  6  0
27  7  0
27  8  0
27  9  0
27  10  0
27  11  0
27  12  0
27  13  0
27  14  0
27  15  0
27  16  0
27  17  3.37194e+07
27  18  0
27  19  7.20119e+07
27  20  0
27  21  0
27  22  3.84925e+07
27  23  4.29207e+06
27  24  5.17665e+07
27  25  0
27  26  4.46809e+07
27  27  4.76181e+07
27  28  8.24925e+07
27  29  4.23802e+07
27  30  5.37543e+07
27  31  2.80389e+07
27  32  0
27  33  3.70238e+07
27  34  2.70518e+07
27  35  4.38829e+07
27  36  8.18321e+07
27  37  5.34737e+07
27  38  5.00017e+07
27  39  7.86244e+07
27  40  4.57099e+07
27  41  4.54503e+07
27  42  0
27  43  0
27  44  0
27  45  0
27  46  0
27  47  4.89388e+07
27  48  0
27  49  0
27  50  0
28  0  0
28  1  0
28  2  0
28  3  0
28  4  0
28  5  0
28  6  0
28  7  0
28  8  0
28  9  0
28  10  0
28  11  0
28  12  0
28  13  0
28  14  0
28  15  0
28  16  1.90648e+07
28  17  0
28  18  0
28  19  3.85681e+07
28  20  5.74999e+06
28  21  4.32595e+07
28  22  5.45343e+07
28  23  3.83639e+07
28  24  4.26179e+07
28  25  3.65303e+07
28  26  3.16956e+07
28  27  6.44614e+07
28  28  6.83313e+07
28  29  7.19291e+07
28  30  3.27678e+07
28  31  3.84703e+07
28  32  5.27297e+07
28  33  2.90918e+07
28  34  0
28  35  3.57754e+07
28  36  4.78852e+07
28  37  7.89021e+07
28  38  5.63954e+07
28  39  1.04056e+08
28  40  6.19037e+07
28  41  1.8708e+07
28  42  0
28  43  0
28  44  0
28  45  0
28  46  0
28  47  0
28  48  0
28  49  0
28  50  0
29  0  0
29  1  0
29  2  0
29  3  0
29  4  0
29  5  0
29  6  0
29  7  0
29  8  0
29  9  0
29  10  0
29  11  0
29  12  0
29  13  0
29  14  0
29  15  1.18539e+06
29  16  3.62892e+07
29  17  3.27779e+07
29  18  4.79569e+07
29  19  4.07856e+07
29  20  0
29  21  2.98622e+07
29  22  4.298e+07
29  23  3.29209e+07
29  24  6.3324e+07
29  25  3.83367e+07
29  26  6.91366e+07
29  27  6.91732e+07
29  28  7.22668e+07
29  29  6.0915e+07
29  30  5.09641e+07
29  31  4.43944e+07
29  32  3.14253e+07
29  33  3.33961e+07
29  34  2.94887e+07
29  35  4.03257e+07
29  36  6.91226e+07
29  37  5.70524e+07
29  38  4.98813e+07
29  39  5.23384e+07
29  40  3.63641e+07
29  41  1.60692e+07
29  42  0
29  43  0
29  44  0
29  45  0
29  46  4.55064e+07
29  47  3.06842e+07
29  48  0
29  49  0
29  50  0
30  0  0
30  1  0
30  2  0
30  3  0
30  4  0
30  5  0
30  6  0
30  7  0
30  8  0
30  9  0
30  10  0
30  11  0
30  12  0
30  13  0
30  14  0
30  15  0
30  16  0
30  17  1.9525e+07
30  18  2.82806e+07
30  19  3.65269e+07
30  20  3.95054e+07
30  21  0
30  22  0
30  23  0
30  24  4.41537e+07
30  25  3.73566e+07
30  26  3.14192e+07
30  27  0
30  28  4.43662e+07
30  29  5.17734e+07
30  30  7.29168e+07
30  31  4.68718e+07
30  32  0
30  33  3.62072e+07
30  34  3.24025e+07
30  35  3.86799e+07
30  36  4.55159e+07
30  37  4.96479e+07
30  38  6.47732e+07
30  39  4.04757e+07
30  40  4.07e+07
30  41  2.23263e+07
30  42  0
30  43  0
30  44  0
30  45  0
30  46  0
30  47  0
30  48  0
30  49  0
30  50  0
31  0  0
31  1  0
31  2  0
31  3  0
31  4  0
31  5  0
31  6  0
31  7  0
31  8  0
31  9  0
31  10  0
31  11  0
31  12  0
31  13  0
31  14  0
31  15  0
