row  column  (images_12_23nov.edf Zn_K*images_12_23nov.edf Ar_K**2.3)
14  3  1.01979e+08
14  4  2.44214e+08
14  5  5.02147e+08
14  6  4.80567e+08
14  7  2.36671e+08
14  8  2.21961e+08
14  9  3.95349e+08
14  10  4.59322e+08
14  11  4.60346e+08
14  12  3.62418e+08
14  13  2.70126e+08
14  14  3.43313e+08
14  15  2.35415e+08
14  16  2.39884e+08
14  17  2.39118e+08
14  18  2.93869e+08
14  19  2.50331e+08
14  20  1.99586e+08
14  21  3.27416e+08
14  22  3.07205e+08
14  23  6.07104e+08
14  24  6.54716e+08
14  25  5.43458e+08
14  26  3.92362e+08
14  27  2.70735e+08
14  28  3.17508e+08
14  29  2.69075e+08
14  30  5.14474e+08
14  31  4.76595e+08
14  32  3.78484e+08
14  33  3.21434e+08
14  34  3.9115e+08
14  35  3.91537e+08
14  36  6.06664e+08
14  37  2.86753e+08
14  38  4.39095e+08
14  39  5.68375e+08
14  40  6.58342e+08
14  41  5.66871e+08
14  42  5.98409e+08
14  43  5.57335e+08
14  44  6.37694e+08
14  45  7.08906e+08
14  46  6.70804e+08
14  47  5.2615e+08
14  48  4.3449e+08
14  49  5.94543e+08
14  50  6.50716e+08
15  0  0
15  1  3.541e+07
15  2  0
15  3  1.60404e+07
15  4  2.87478e+08
15  5  3.79548e+08
15  6  3.25938e+08
15  7  1.89996e+08
15  8  2.39457e+08
15  9  4.55762e+08
15  10  5.65268e+08
15  11  6.2946e+08
15  12  3.52934e+08
15  13  2.56012e+08
15  14  3.25022e+08
15  15  4.72784e+08
15  16  2.61038e+08
15  17  2.38455e+08
15  18  2.98687e+08
15  19  2.27787e+08
15  20  2.8788e+08
15  21  2.53022e+08
15  22  3.64501e+08
15  23  5.18404e+08
15  24  6.40581e+08
15  25  5.04578e+08
15  26  2.68838e+08
15  27  2.70143e+08
15  28  2.03007e+08
15  29  3.73958e+08
15  30  5.38648e+08
15  31  4.38436e+08
15  32  4.5863e+08
15  33  3.08683e+08
15  34  3.02313e+08
