row  column  (images_6a.edf Zn-K*images_6a.edf Ar-K**2.3)
10  49  2.99275e+07
10  50  4.63822e+07
10  51  2.71326e+07
10  52  3.5342e+07
10  53  3.18646e+07
10  54  4.53077e+07
10  55  3.78643e+07
10  56  4.32757e+07
10  57  1.94797e+07
10  58  4.20362e+07
10  59  2.13539e+07
10  60  4.08141e+07
10  61  3.27372e+07
10  62  3.53561e+07
10  63  3.4951e+07
10  64  9.51842e+06
10  65  3.694e+07
10  66  3.24287e+07
10  67  4.72813e+07
10  68  7.60674e+06
10  69  2.15801e+07
10  70  1.46019e+07
10  71  1.56732e+07
10  72  1.58129e+06
10  73  6.84991e+06
10  74  2.90379e+07
10  75  8.06019e+06
10  76  5.88398e+07
10  77  1.22111e+07
10  78  0
10  79  1.41808e+07
10  80  0
10  81  1.04635e+07
10  82  1.83918e+07
10  83  3.48792e+06
10  84  3.12561e+06
10  85  0
10  86  1.74014e+07
10  87  1.10765e+07
10  88  4.57997e+06
10  89  0
10  90  0
10  91  5.29578e+06
10  92  4.32802e+06
10  93  6.01338e+06
10  94  6.06658e+06
10  95  0
10  96  0
10  97  1.53722e+07
10  98  0
10  99  0
10  100  0
11  0  4.98034e+07
11  1  6.00716e+07
11  2  4.28509e+07
11  3  6.24085e+07
11  4  7.53345e+07
11  5  5.74964e+07
11  6  5.90356e+07
11  7  5.79448e+07
11  8  3.2187e+07
11  9  8.0221e+07
11  10  9.03551e+07
11  11  4.51291e+07
11  12  4.03708e+07
11  13  5.15083e+07
11  14  8.60428e+07
11  15  7.42084e+07
11  16  4.69644e+07
11  17  5.7426e+07
11  18  4.98486e+07
11  19  4.84053e+07
11  20  8.37317e+07
11  21  2.33757e+07
11  22  2.86028e+07
11  23  4.95112e+07
11  24  7.53605e+07
11  25  4.40861e+07
11  26  5.0577e+07
11  27  6.50899e+07
11  28  6.17479e+07
11  29  4.69375e+07
11  30  4.75047e+07
11  31  5.92525e+07
11  32  6.05832e+07
11  33  5.65076e+07
11  34  4.90097e+07
11  35  5.35125e+07
11  36  7.90704e+07
11  37  8.45586e+07
11  38  1.00596e+08
11  39  9.18849e+07
11  40  3.52817e+07
11  41  3.58396e+07
11  42  3.37965e+07
11  43  1.22056e+07
11  44  1.58225e+07
11  45  1.85276e+07
11  46  1.51149e+07
11  47  2.28577e+07
11  48  3.21467e+07
11  49  5.01336e+07
11  50  4.91786e+07
11  51  2.80202e+07
11  52  3.29309e+07
11  53  6.27153e+07
11  54  3.46735e+07
11  55  4.69097e+07
11  56  2.03744e+07
11  57  2.82508e+07
11  58  2.58751e+07
11  59  3.70236e+07
11  60  4.25324e+07
11  61  5.66033e+07
11  62  3.77884e+07
11  63  4.39948e+07
11  64  2.61956e+07
11  65  3.03221e+07
11  66  3.54271e+07
11  67  3.06082e+07
11  68  3.04757e+07
11  69  1.78914e+07
11  70  3.42924e+07
11  71  3.21475e+07
11  72  1.49267e+07
11  73  3.11023e+07
11  74  5.8071e+06
11  75  3.61158e+07
11  76  5.14629e+07
11  77  2.54353e+07
11  78  0
11  79  173637
11  80  0
11  81  0
11  82  0
11  83  0
11  84  3.43871e+07
11  85  658714
11  86  3.82599e+07
11  87  0
11  88  1.03804e+07
11  89  6.08176e+06
11  90  5.47592e+06
11  91  3.73488e+06
11  92  0
11  93  0
11  94  9.79314e+06
11  95  536360
