row  column  (images_25_2_757.edf Ca-K*images_25_2_757.edf Ar-K**2.3)
17  12  2.73187e+09
17  13  1.95419e+09
17  14  2.01096e+09
17  15  1.77366e+09
17  16  2.04865e+09
17  17  1.71938e+09
17  18  1.83898e+09
17  19  1.77969e+09
17  20  1.78733e+09
17  21  1.58496e+09
17  22  1.46141e+09
17  23  1.31901e+09
17  24  1.45339e+09
17  25  1.3382e+09
17  26  1.16402e+09
17  27  1.21126e+09
17  28  1.40221e+09
17  29  1.35571e+09
17  30  1.38185e+09
17  31  1.62917e+09
17  32  1.77387e+09
17  33  1.57736e+09
17  34  1.71324e+09
17  35  1.44676e+09
17  36  1.67691e+09
17  37  1.55085e+09
17  38  1.32769e+09
17  39  1.34559e+09
17  40  1.20297e+09
17  41  1.41685e+09
17  42  1.47223e+09
17  43  1.18236e+09
17  44  1.40701e+09
17  45  1.60601e+09
17  46  1.54045e+09
17  47  1.63886e+09
17  48  1.61471e+09
17  49  1.83572e+09
17  50  1.85709e+09
18  0  1.8921e+09
18  1  1.69369e+09
18  2  1.73451e+09
18  3  1.58356e+09
18  4  1.63667e+09
18  5  1.72399e+09
18  6  1.64214e+09
18  7  1.96906e+09
18  8  2.34086e+09
18  9  2.1325e+09
18  10  3.29791e+09
18  11  3.70427e+09
18  12  3.22483e+09
18  13  2.17002e+09
18  14  1.79634e+09
18  15  1.92716e+09
18  16  2.078e+09
18  17  1.86467e+09
18  18  1.766e+09
18  19  1.78575e+09
18  20  1.75887e+09
18  21  2.04981e+09
18  22  1.71504e+09
18  23  1.3534e+09
18  24  1.42296e+09
18  25  1.32622e+09
18  26  1.34511e+09
18  27  1.1518e+09
18  28  1.42236e+09
18  29  1.42033e+09
18  30  1.19227e+09
18  31  1.34374e+09
18  32  1.6007e+09
18  33  1.60643e+09
18  34  1.38035e+09
18  35  1.41634e+09
18  36  1.47973e+09
18  37  1.47984e+09
18  38  1.27805e+09
18  39  1.30085e+09
18  40  1.16981e+09
18  41  1.24041e+09
18  42  1.31746e+09
18  43  1.31347e+09
18  44  1.29497e+09
18  45  1.48205e+09
18  46  1.5575e+09
18  47  1.72888e+09
18  48  1.49945e+09
18  49  1.63295e+09
18  50  1.95017e+09
19  0  1.82656e+09
19  1  1.66505e+09
19  2  1.68399e+09
19  3  1.81104e+09
19  4  1.74926e+09
19  5  1.87511e+09
19  6  1.63408e+09
19  7  2.13424e+09
19  8  2.19508e+09
19  9  2.09235e+09
19  10  3.43471e+09
19  11  4.19409e+09
19  12  3.31141e+09
19  13  2.45528e+09
19  14  2.18007e+09
19  15  1.89593e+09
19  16  1.82714e+09
19  17  1.71731e+09
19  18  1.83009e+09
19  19  1.89449e+09
19  20  1.79539e+09
19  21  1.76536e+09
19  22  1.95019e+09
19  23  1.5286e+09
19  24  1.31501e+09
19  25  1.45154e+09
19  26  1.32807e+09
19  27  1.3176e+09
19  28  1.50852e+09
19  29  1.28219e+09
19  30  1.43088e+09
19  31  1.52429e+09
19  32  1.43546e+09
19  33  1.50069e+09
19  34  1.35562e+09
19  35  1.34459e+09
19  36  1.30497e+09
19  37  1.2526e+09
19  38  1.27219e+09
19  39  1.21272e+09
19  40  1.09307e+09
19  41  1.2312e+09
19  42  1.30638e+09
19  43  1.13794e+09
19  44  1.37418e+09
19  45  1.41106e+09
19  46  1.59228e+09
19  47  1.55664e+09
19  48  1.51677e+09
19  49  1.83798e+09
19  50  1.99411e+09
20  0  1.93013e+09
20  1  1.638e+09
20  2  1.82609e+09
20  3  1.52688e+09
20  4  1.66446e+09
20  5  1.93772e+09
20  6  1.76247e+09
20  7  1.90555e+09
20  8  2.47231e+09
20  9  2.15803e+09
20  10  4.03103e+09
20  11  4.45588e+09
20  12  3.49259e+09
20  13  2.52225e+09
20  14  1.8856e+09
20  15  2.13402e+09
20  16  2.06926e+09
20  17  2.23414e+09
20  18  1.74971e+09
20  19  1.87293e+09
20  20  1.92627e+09
20  21  2.01488e+09
20  22  1.97754e+09
20  23  1.62575e+09
20  24  1.4732e+09
20  25  1.57837e+09
20  26  1.44217e+09
20  27  1.52301e+09
20  28  1.49123e+09
20  29  1.33356e+09
20  30  1.37089e+09
20  31  1.6864e+09
20  32  1.48623e+09
20  33  1.32365e+09
20  34  1.18074e+09
20  35  1.13735e+09
20  36  1.16386e+09
20  37  1.26537e+09
20  38  8.85759e+08
20  39  9.74438e+08
20  40  9.47127e+08
20  41  1.21439e+09
20  42  1.28633e+09
20  43  1.27866e+09
20  44  1.38298e+09
20  45  1.47231e+09
20  46  1.55449e+09
20  47  1.67299e+09
20  48  1.75117e+09
20  49  1.92047e+09
20  50  1.74323e+09
21  0  1.90075e+09
21  1  1.61551e+09
21  2  1.81787e+09
21  3  1.72053e+09
21  4  1.72722e+09
21  5  1.83657e+09
21  6  1.88256e+09
21  7  2.2873e+09
21  8  2.22979e+09
21  9  2.62945e+09
21  10  3.64372e+09
21  11  4.51381e+09
21  12  3.77695e+09
21  13  2.55067e+09
21  14  2.32581e+09
21  15  2.00183e+09
21  16  2.05571e+09
21  17  1.89608e+09
21  18  1.68437e+09
21  19  1.79171e+09
21  20  2.09342e+09
21  21  1.981e+09
21  22  2.14161e+09
21  23  1.51326e+09
21  24  1.60545e+09
21  25  1.80486e+09
21  26  1.49941e+09
21  27  1.35139e+09
21  28  1.4593e+09
21  29  1.40828e+09
21  30  1.36361e+09
21  31  1.48062e+09
21  32  1.63636e+09
21  33  1.21942e+09
21  34  1.19242e+09
21  35  9.56592e+08
21  36  1.00505e+09
21  37  8.78817e+08
21  38  9.77042e+08
21  39  9.5549e+08
21  40  1.00165e+09
21  41  9.96163e+08
21  42  1.23584e+09
21  43  1.06258e+09
21  44  1.30081e+09
21  45  1.45264e+09
21  46  1.53992e+09
21  47  1.46685e+09
21  48  1.66257e+09
21  49  2.03272e+09
21  50  1.9568e+09
22  0  1.88651e+09
22  1  1.35573e+09
22  2  1.55581e+09
22  3  1.54196e+09
22  4  1.8198e+09
22  5  1.93381e+09
22  6  1.8832e+09
22  7  1.96057e+09
22  8  2.3381e+09
22  9  2.34412e+09
22  10  3.13167e+09
22  11  4.35229e+09
22  12  3.33118e+09
22  13  2.42104e+09
22  14  2.30833e+09
22  15  2.21941e+09
22  16  2.13447e+09
22  17  2.2274e+09
22  18  1.8929e+09
22  19  2.04695e+09
22  20  2.23038e+09
22  21  1.91816e+09
22  22  2.08498e+09
22  23  1.50563e+09
