row  column  (images_25_2_757.edf P-K*images_25_2_757.edf Ar-K**2.3)
27  9  1.02167e+07
27  10  0
27  11  1.29698e+07
27  12  0
27  13  2.02589e+07
27  14  0
27  15  0
27  16  0
27  17  0
27  18  8.94693e+06
27  19  3.17396e+07
27  20  1.07944e+07
27  21  2.37906e+07
27  22  2.17755e+07
27  23  1.29866e+07
27  24  1.04106e+07
27  25  6.61925e+06
27  26  1.01057e+07
27  27  0
27  28  0
27  29  0
27  30  0
27  31  0
27  32  0
27  33  0
27  34  1.26638e+07
27  35  9.19832e+06
27  36  6.42713e+06
27  37  0
27  38  0
27  39  1.14013e+07
27  40  6.55444e+06
27  41  0
27  42  7.99305e+06
27  43  0
27  44  0
27  45  0
27  46  0
27  47  0
27  48  0
27  49  0
27  50  1.18498e+07
28  0  0
28  1  0
28  2  0
28  3  1.33445e+07
28  4  1.17875e+07
28  5  8.58014e+06
28  6  1.2491e+07
28  7  1.41774e+07
28  8  0
28  9  1.12589e+07
28  10  0
28  11  1.12977e+07
28  12  1.19597e+07
28  13  1.46858e+07
28  14  0
28  15  0
28  16  0
28  17  9.53372e+06
28  18  1.01118e+07
28  19  1.66273e+07
28  20  1.58398e+07
28  21  1.00634e+07
28  22  1.54914e+07
28  23  1.79628e+07
28  24  1.42152e+07
28  25  0
28  26  0
28  27  0
28  28  0
28  29  0
28  30  0
28  31  0
28  32  0
28  33  0
28  34  1.20308e+07
28  35  1.49057e+07
28  36  0
28  37  0
28  38  0
28  39  0
28  40  0
28  41  1.18221e+07
28  42  0
28  43  7.09024e+06
28  44  9.66372e+06
28  45  1.27187e+07
28  46  1.20882e+07
28  47  0
28  48  0
28  49  8.76322e+06
28  50  0
29  0  0
29  1  0
29  2  1.41561e+07
29  3  0
29  4  8.91995e+06
29  5  3.00793e+07
29  6  1.15354e+07
29  7  0
29  8  1.14239e+07
29  9  0
29  10  0
29  11  1.06599e+07
29  12  1.88403e+07
29  13  0
29  14  0
29  15  0
29  16  0
29  17  0
29  18  2.58014e+07
29  19  2.03771e+07
29  20  1.6135e+07
29  21  0
29  22  1.9672e+07
29  23  9.32855e+06
29  24  8.5709e+06
29  25  0
29  26  8.883e+06
29  27  0
29  28  0
29  29  0
29  30  0
29  31  0
29  32  0
29  33  0
29  34  9.58769e+06
29  35  6.98811e+06
29  36  0
29  37  0
29  38  0
29  39  0
29  40  0
29  41  0
29  42  0
29  43  8.75523e+06
29  44  1.27444e+07
29  45  0
29  46  9.94427e+06
29  47  628900
29  48  1.06721e+07
29  49  0
29  50  1.50053e+07
30  0  0
30  1  0
30  2  0
30  3  0
30  4  0
30  5  1.81437e+07
30  6  0
30  7  0
30  8  1.26014e+07
30  9  9.67621e+06
30  10  0
30  11  0
30  12  1.5766e+07
30  13  0
30  14  0
30  15  0
30  16  0
30  17  1.44852e+07
30  18  1.64231e+07
30  19  0
30  20  1.41279e+07
30  21  1.67671e+07
30  22  1.16147e+07
30  23  1.83473e+07
30  24  1.41992e+07
30  25  1.83967e+07
30  26  1.60678e+07
30  27  1.23612e+07
30  28  0
30  29  0
30  30  0
30  31  0
30  32  0
30  33  0
30  34  9.66283e+06
30  35  0
30  36  1.2589e+07
30  37  0
30  38  0
30  39  0
30  40  7.57311e+06
30  41  0
30  42  0
30  43  1.18868e+07
30  44  1.35257e+07
30  45  1.91877e+07
30  46  7.15577e+06
30  47  0
30  48  0
30  49  8.79794e+06
30  50  0
31  0  0
31  1  0
31  2  0
31  3  9.76115e+06
31  4  8.88062e+06
31  5  9.44986e+06
31  6  1.9183e+07
31  7  1.46077e+07
31  8  9.22085e+06
31  9  0
31  10  0
31  11  1.23265e+07
31  12  0
31  13  9.30807e+06
31  14  0
31  15  0
31  16  5.79328e+06
31  17  0
31  18  8.81192e+06
31  19  2.13816e+07
31  20  1.3086e+07
31  21  1.57808e+07
31  22  0
31  23  8.84418e+06
31  24  0
31  25  0
31  26  1.70375e+07
31  27  0
31  28  0
31  29  0
31  30  0
31  31  0
31  32  0
31  33  1.71089e+07
31  34  0
31  35  0
31  36  1.31634e+07
31  37  0
31  38  7.37191e+06
31  39  7.55881e+06
31  40  0
31  41  0
31  42  0
31  43  1.22839e+07
31  44  6.86302e+06
31  45  1.84281e+07
31  46  2.28578e+07
31  47  1.1321e+07
31  48  8.26304e+06
31  49  1.64859e+07
31  50  0
32  0  0
32  1  0
32  2  0
32  3  1.8514e+07
32  4  0
32  5  1.31017e+07
32  6  8.88157e+06
32  7  1.34169e+07
32  8  8.36815e+06
32  9  1.21847e+07
32  10  8.71525e+06
32  11  0
32  12  0
32  13  0
32  14  0
32  15  0
32  16  0
32  17  1.04063e+07
32  18  1.71696e+07
32  19  0
32  20  1.09739e+07
32  21  1.61737e+07
32  22  1.48927e+07
32  23  1.45461e+07
32  24  0
32  25  0
32  26  1.51962e+07
32  27  0
32  28  0
32  29  0
32  30  0
32  31  0
32  32  0
32  33  0
32  34  8.59089e+06
32  35  0
32  36  0
32  37  0
32  38  0
32  39  0
32  40  0
32  41  1.188e+07
32  42  4.73025e+06
32  43  0
32  44  1.07297e+07
32  45  1.78638e+07
32  46  1.28533e+07
32  47  0
32  48  0
32  49  0
32  50  0
33  0  0
33  1  0
33  2  1.62871e+07
33  3  1.13518e+07
33  4  1.48778e+07
33  5  0
33  6  0
33  7  0
33  8  1.0509e+07
33  9  1.71614e+07
33  10  0
33  11  8.42999e+06
33  12  1.29175e+07
33  13  1.5325e+07
33  14  0
33  15  0
33  16  0
33  17  0
33  18  0
33  19  1.63074e+07
33  20  1.82965e+07
33  21  1.74978e+07
33  22  2.40961e+07
33  23  0
