row  column  (images_25_2_757.edf Mn-K*images_25_2_757.edf Ar-K**2.3)
18  20  1.99497e+07
18  21  1.95091e+07
18  22  6.2922e+06
18  23  2.57832e+07
18  24  1.14058e+07
18  25  1.56599e+07
18  26  2.26839e+07
18  27  1.04203e+07
18  28  2.38581e+07
18  29  1.27836e+07
18  30  1.59405e+07
18  31  1.57056e+07
18  32  8.1072e+06
18  33  2.14096e+07
18  34  2.83233e+07
18  35  2.09678e+07
18  36  2.33502e+07
18  37  1.28163e+07
18  38  1.88813e+07
18  39  1.08737e+07
18  40  2.68806e+07
18  41  1.1049e+07
18  42  1.74673e+07
18  43  2.16382e+07
18  44  2.57459e+07
18  45  1.54969e+07
18  46  1.70706e+07
18  47  1.76111e+07
18  48  1.05919e+07
18  49  1.47038e+07
18  50  2.14301e+07
19  0  2.17407e+07
19  1  9.29007e+06
19  2  1.99977e+07
19  3  2.29493e+07
19  4  1.67794e+07
19  5  1.23674e+07
19  6  1.50817e+07
19  7  1.76216e+07
19  8  2.15685e+07
19  9  1.51896e+07
19  10  5.69851e+06
19  11  0
19  12  0
19  13  1.60139e+07
19  14  8.8699e+06
19  15  1.56656e+07
19  16  1.40974e+07
19  17  1.19177e+07
19  18  2.39718e+07
19  19  7.98433e+06
19  20  1.00779e+07
19  21  1.57173e+07
19  22  7.4094e+06
19  23  1.99407e+07
19  24  1.44608e+07
19  25  1.2772e+07
19  26  2.3049e+07
19  27  2.51493e+07
19  28  2.45559e+07
19  29  1.43722e+07
19  30  1.08084e+07
19  31  2.55416e+07
19  32  1.2744e+07
19  33  2.93358e+07
19  34  1.23366e+07
19  35  3.11181e+07
19  36  1.57011e+07
19  37  2.08159e+07
19  38  3.36664e+07
19  39  1.4943e+07
19  40  1.97269e+07
19  41  2.59108e+07
19  42  1.24905e+07
19  43  5.22389e+06
19  44  1.1611e+07
19  45  2.26834e+07
19  46  8.24942e+06
19  47  2.06724e+07
19  48  1.4563e+07
19  49  1.78791e+07
19  50  2.15282e+07
20  0  1.84669e+07
20  1  1.79987e+07
20  2  1.36759e+07
20  3  6.81252e+06
20  4  1.66267e+07
20  5  1.17708e+07
20  6  1.85918e+07
20  7  1.54446e+07
20  8  1.43559e+07
20  9  1.58518e+07
20  10  0
20  11  0
20  12  4.67683e+06
20  13  2.01665e+07
20  14  1.16812e+07
20  15  0
20  16  3.88775e+06
20  17  2.55802e+07
20  18  2.28392e+07
20  19  2.69659e+07
20  20  1.26579e+07
20  21  2.92792e+07
20  22  0
20  23  2.22543e+07
20  24  2.43297e+07
20  25  1.62536e+07
20  26  2.17117e+07
20  27  3.74702e+06
20  28  1.58761e+07
20  29  2.03557e+07
20  30  1.71499e+07
20  31  1.63191e+07
20  32  2.00583e+07
20  33  1.83122e+07
20  34  1.35307e+07
20  35  2.18606e+07
20  36  2.26377e+07
20  37  2.75309e+07
20  38  2.19983e+07
20  39  2.45393e+07
20  40  2.07405e+07
20  41  1.04195e+07
20  42  1.08084e+07
20  43  1.67607e+07
20  44  2.25328e+07
20  45  2.30035e+07
20  46  2.22945e+07
20  47  2.33198e+07
20  48  2.00915e+07
20  49  1.78325e+07
20  50  2.14651e+07
21  0  1.18107e+07
21  1  2.66241e+07
21  2  1.74246e+07
21  3  2.21143e+07
21  4  1.80759e+07
21  5  2.39237e+07
21  6  2.52256e+07
21  7  1.54285e+07
21  8  6.98019e+06
21  9  1.64675e+07
21  10  4.0162e+06
21  11  0
21  12  0
21  13  1.02014e+07
21  14  3.17231e+06
21  15  1.23864e+07
21  16  1.71571e+07
21  17  1.59055e+07
21  18  1.20369e+07
21  19  1.37923e+07
21  20  1.69563e+07
21  21  2.20819e+07
21  22  5.3598e+06
21  23  1.94017e+07
21  24  1.94565e+07
21  25  2.05279e+07
21  26  1.97418e+07
21  27  1.27686e+07
21  28  6.66297e+06
21  29  1.72434e+07
21  30  1.65638e+07
21  31  1.16997e+07
21  32  1.32476e+07
21  33  1.78202e+07
21  34  2.52697e+07
21  35  1.41907e+07
21  36  1.48594e+07
21  37  1.82757e+07
21  38  2.69402e+07
21  39  2.80523e+07
21  40  1.66636e+07
21  41  1.9792e+07
21  42  1.32782e+07
21  43  1.74629e+07
21  44  1.4101e+07
21  45  2.45404e+07
21  46  2.68839e+07
21  47  1.29349e+07
21  48  2.35048e+07
21  49  1.16016e+07
21  50  1.46625e+07
22  0  2.01299e+07
22  1  1.99132e+07
22  2  1.35206e+07
22  3  2.23799e+07
22  4  1.97595e+07
22  5  2.05419e+07
22  6  2.0275e+07
22  7  1.78057e+07
22  8  2.10145e+07
22  9  1.71048e+07
22  10  1.04629e+07
22  11  0
22  12  9.21436e+06
22  13  1.01744e+07
22  14  4.6294e+06
22  15  2.21899e+07
22  16  1.74779e+07
